match_id,timestamp,event_type,x,y,end_x,end_y,outcome,xT,is_progressive,is_recovery,is_complete,body_part,under_pressure,pass_length,pass_angle,team_id,player_id
LALIGA_24_25_M26,0.1,pass,43.73,36.51,45.95,48.73,success,0.0,0,0,1,left_foot,0,12.42,79.7,FCB,PEDRI_8
LALIGA_24_25_M26,2.4,carry,80.83,39.14,92.24,29.76,success,0.6307,0,0,1,left_foot,0,14.77,-39.4,FCB,PEDRI_8
LALIGA_24_25_M26,19.0,pass,30.99,37.47,31.23,41.19,success,0.0005,0,0,1,left_foot,0,3.73,86.3,FCB,PEDRI_8
LALIGA_24_25_M26,32.5,pass,51.2,24.31,43.83,14.66,success,0.0,0,0,1,right_foot,0,12.14,-127.4,FCB,PEDRI_8
LALIGA_24_25_M26,42.3,pass,53.51,21.15,53.51,17.06,success,0.0868,0,0,1,right_foot,0,4.09,-90.1,FCB,PEDRI_8
LALIGA_24_25_M26,50.2,shot,36.96,27.83,62.69,34.57,off_target,0.2059,1,0,0,right_foot,0,0.0,0.0,FCB,PEDRI_8
LALIGA_24_25_M26,53.2,pass,86.73,45.29,95.8,47.12,success,0.7171,0,0,1,chest,0,9.25,11.4,FCB,PEDRI_8
LALIGA_24_25_M26,54.2,pass,62.75,39.48,87.13,27.97,fail,0.5491,1,0,0,right_foot,0,26.96,-25.3,FCB,PEDRI_8
LALIGA_24_25_M26,80.2,pass,83.53,20.08,76.37,17.03,success,0.3583,0,0,1,right_foot,1,7.78,-156.9,FCB,PEDRI_8
LALIGA_24_25_M26,86.3,pass,73.55,47.78,85.24,51.31,success,0.5554,0,0,1,right_foot,0,12.22,16.8,FCB,PEDRI_8
LALIGA_24_25_M26,140.5,carry,47.83,39.49,78.75,41.42,success,0.4342,1,0,1,left_foot,0,30.97,3.6,FCB,PEDRI_8
LALIGA_24_25_M26,147.6,recovery,71.4,41.27,65.94,37.02,success,0.2321,0,1,1,right_foot,0,0.0,0.0,FCB,PEDRI_8
LALIGA_24_25_M26,164.3,pass,54.11,52.79,99.61,56.01,fail,0.7358,1,0,0,left_foot,0,45.62,4.0,FCB,PEDRI_8
LALIGA_24_25_M26,187.6,pass,74.26,38.33,81.43,49.04,success,0.4806,0,0,1,right_foot,0,12.89,56.2,FCB,PEDRI_8
LALIGA_24_25_M26,193.3,pass,79.56,54.68,77.85,48.94,fail,0.4562,0,0,0,left_foot,0,6.0,-106.6,FCB,PEDRI_8
LALIGA_24_25_M26,216.5,pass,65.13,30.23,70.9,34.44,success,0.3725,0,0,1,right_foot,0,7.14,36.1,FCB,PEDRI_8
LALIGA_24_25_M26,247.5,pass,50.11,32.53,61.71,36.35,fail,0.2112,0,0,0,right_foot,1,12.21,18.3,FCB,PEDRI_8
LALIGA_24_25_M26,250.1,pass,38.6,60.28,46.76,61.1,success,0.0,0,0,1,right_foot,1,8.2,5.8,FCB,PEDRI_8
LALIGA_24_25_M26,255.2,pass,38.73,40.4,44.31,34.31,fail,0.0,0,0,0,right_foot,0,8.26,-47.5,FCB,PEDRI_8
LALIGA_24_25_M26,256.5,carry,62.83,58.31,91.44,70.79,success,0.5659,1,0,1,head,1,31.21,23.6,FCB,PEDRI_8
LALIGA_24_25_M26,284.4,recovery,30.0,42.56,26.38,43.94,success,0.026,0,1,1,left_foot,0,0.0,0.0,FCB,PEDRI_8
LALIGA_24_25_M26,322.6,pass,30.35,24.3,50.93,23.97,success,0.0695,1,0,1,right_foot,0,20.59,-0.9,FCB,PEDRI_8
LALIGA_24_25_M26,335.4,pass,82.51,37.15,100.77,32.57,fail,0.809,1,0,0,left_foot,0,18.83,-14.1,FCB,PEDRI_8
LALIGA_24_25_M26,343.0,recovery,67.26,37.58,59.37,25.88,success,0.1153,0,1,1,left_foot,0,0.0,0.0,FCB,PEDRI_8
LALIGA_24_25_M26,360.2,pass,74.74,43.37,89.93,42.29,success,0.6662,1,0,1,right_foot,0,15.23,-4.1,FCB,PEDRI_8
LALIGA_24_25_M26,385.2,pass,49.63,40.61,72.02,54.0,fail,0.3569,1,0,0,right_foot,0,26.09,30.9,FCB,PEDRI_8
LALIGA_24_25_M26,397.5,dribble,36.51,37.5,30.49,43.24,success,0.0,0,0,1,right_foot,1,8.32,136.4,FCB,PEDRI_8
LALIGA_24_25_M26,426.5,duel,47.74,40.4,45.08,41.76,success,0.0237,0,0,1,head,0,0.0,0.0,FCB,PEDRI_8
LALIGA_24_25_M26,452.5,recovery,84.13,21.94,86.83,16.13,success,0.5051,0,1,1,right_foot,0,0.0,0.0,FCB,PEDRI_8
LALIGA_24_25_M26,517.9,recovery,39.98,41.94,43.57,51.31,success,0.0115,0,1,1,left_foot,0,0.0,0.0,FCB,PEDRI_8
LALIGA_24_25_M26,533.3,pass,54.02,59.2,64.47,68.69,success,0.1832,0,0,1,right_foot,0,14.11,42.2,FCB,PEDRI_8
LALIGA_24_25_M26,534.7,pass,94.63,39.81,98.38,41.95,success,0.7895,0,0,1,right_foot,0,4.32,29.6,FCB,PEDRI_8
LALIGA_24_25_M26,541.1,shot,75.93,41.05,104.61,34.72,off_target,0.9128,1,0,0,head,0,0.0,0.0,FCB,PEDRI_8
LALIGA_24_25_M26,568.7,pass,66.01,30.84,74.59,33.4,success,0.3886,0,0,1,right_foot,1,8.96,16.6,FCB,PEDRI_8
LALIGA_24_25_M26,583.5,recovery,40.91,48.56,40.76,50.28,success,0.0542,0,1,1,right_foot,0,0.0,0.0,FCB,PEDRI_8
LALIGA_24_25_M26,595.3,pass,53.31,41.95,72.75,37.72,success,0.3657,1,0,1,right_foot,0,19.9,-12.3,FCB,PEDRI_8
LALIGA_24_25_M26,624.8,shot,43.05,37.72,53.98,38.39,blocked,0.046,0,0,0,right_foot,0,0.0,0.0,FCB,PEDRI_8
LALIGA_24_25_M26,631.8,pass,34.35,15.54,39.3,7.33,success,0.0,0,0,1,right_foot,1,9.59,-58.9,FCB,PEDRI_8
LALIGA_24_25_M26,639.3,pass,77.29,40.71,81.89,53.63,success,0.5182,0,0,1,right_foot,0,13.72,70.4,FCB,PEDRI_8
