match_id,timestamp,x,y,speed_m_per_s,accel_m_per_s2,distance_covered_m,high_intensity_run,sprint,distance_to_ball,distance_to_goal,touch,tackle,in_possession,zone_name
LALIGA_24_25_M23,0.0,68.75,35.33,2.44,4.89,1.22,0,0,24.571859923408784,51.46232991227661,0,0,0,central_middle
LALIGA_24_25_M23,0.5,69.66,35.53,1.87,-1.15,2.16,0,0,27.5258927805831,50.538069808808494,0,0,0,central_middle
LALIGA_24_25_M23,1.0,69.79,32.99,5.08,6.44,4.7,0,0,27.827854419669535,50.69698413120843,0,0,0,central_middle
LALIGA_24_25_M23,1.5,68.08,32.4,3.62,-2.92,6.51,0,0,24.009185696147362,52.47329225425064,0,0,0,central_middle
LALIGA_24_25_M23,2.0,69.04,33.25,2.56,-2.13,7.79,0,0,31.925406985140302,51.40509799621044,0,0,0,central_middle
LALIGA_24_25_M23,2.5,72.87,33.73,7.72,10.32,11.65,1,1,47.19905650499616,47.54523950933468,0,0,0,central_middle
LALIGA_24_25_M23,3.0,73.88,33.78,2.02,-11.4,12.66,0,0,19.860712241059083,46.53754183452324,0,0,0,central_middle
LALIGA_24_25_M23,3.5,70.03,33.26,7.77,11.48,16.55,1,1,51.9785010929889,50.4224999380237,0,0,0,central_middle
LALIGA_24_25_M23,4.0,67.62,35.4,6.45,-2.62,19.77,1,0,19.864861572581763,52.5815975413452,0,0,0,central_middle
LALIGA_24_25_M23,4.5,65.66,38.9,8.03,3.15,23.79,1,1,13.849948758518194,54.35113246290274,0,0,0,central_middle
LALIGA_24_25_M23,5.0,68.33,38.16,5.54,-4.98,26.56,1,0,46.30740995285543,51.7027513774654,0,0,0,central_middle
LALIGA_24_25_M23,5.5,68.67,37.14,2.16,-6.75,27.64,0,0,33.88668169473147,51.40961485947935,0,0,0,central_middle
LALIGA_24_25_M23,6.0,67.05,36.93,3.26,2.19,29.27,0,0,18.98611974988396,53.03892344307151,0,0,0,central_middle
LALIGA_24_25_M23,6.5,64.96,33.09,8.75,10.99,33.64,1,1,19.769984751313114,55.47206233772096,0,0,0,central_middle
LALIGA_24_25_M23,7.0,61.05,32.72,7.84,-1.82,37.57,1,1,18.335602159014922,59.397818983528346,0,0,0,central_middle
LALIGA_24_25_M23,7.5,59.56,33.82,3.7,-8.28,39.42,0,0,16.41735627167801,60.7551314705186,0,0,0,central_middle
LALIGA_24_25_M23,8.0,60.35,34.54,2.13,-3.14,40.48,0,0,60.09372493361288,59.89936644072289,0,0,0,central_middle
LALIGA_24_25_M23,8.5,60.88,34.57,1.07,-2.13,41.02,0,0,36.286021412130445,59.36884115426206,0,0,0,central_middle
LALIGA_24_25_M23,9.0,61.23,32.08,5.04,7.94,43.54,0,0,9.861468880711746,59.30125883992683,0,0,0,central_middle
LALIGA_24_25_M23,9.5,63.1,34.14,5.57,1.06,46.32,1,0,19.676335383956502,57.20095803393506,0,0,0,central_middle
LALIGA_24_25_M23,10.0,66.08,33.58,6.05,0.96,49.34,1,0,13.655866714541949,54.30085450524697,0,0,0,central_middle
LALIGA_24_25_M23,10.5,67.29,36.56,6.44,0.78,52.56,1,0,46.70993523999136,52.82213267182611,0,0,0,central_middle
LALIGA_24_25_M23,11.0,67.88,37.4,2.04,-8.78,53.58,0,0,17.23171961955579,52.18481005043518,0,0,0,central_middle
LALIGA_24_25_M23,11.5,67.13,35.59,3.92,3.75,55.54,0,0,12.891586630906172,53.05360496705196,0,0,0,central_middle
LALIGA_24_25_M23,12.0,63.3,34.09,8.22,8.61,59.66,1,1,34.03034685218275,57.00717586409627,0,0,0,central_middle
LALIGA_24_25_M23,12.5,64.4,33.89,2.24,-11.97,60.77,0,0,22.634623938908494,55.93471283559074,0,0,0,central_middle
LALIGA_24_25_M23,13.0,65.94,36.06,5.31,6.14,63.43,0,0,11.780115231764206,54.20338734802466,0,0,0,central_middle
LALIGA_24_25_M23,13.5,65.44,37.12,2.35,-5.91,64.6,0,0,12.545024517572683,54.63595885495194,0,0,0,central_middle
LALIGA_24_25_M23,14.0,67.53,37.85,4.43,4.16,66.82,0,0,15.659118941381948,52.51403050614188,0,0,0,central_middle
LALIGA_24_25_M23,14.5,67.45,35.76,4.18,-0.5,68.91,0,0,17.063637475606217,52.72077484256088,0,0,0,central_middle
LALIGA_24_25_M23,15.0,66.03,35.77,2.83,-2.69,70.32,0,0,11.203314202902964,54.135513297649624,0,0,0,central_middle
LALIGA_24_25_M23,15.5,66.24,36.66,1.84,-1.99,71.24,0,0,57.44729108294955,53.863653793629716,0,0,0,central_middle
LALIGA_24_25_M23,16.0,63.81,36.1,4.99,6.31,73.74,0,0,13.868761034847656,56.3251817573632,1,0,1,central_middle
LALIGA_24_25_M23,16.5,62.57,35.15,3.13,-3.72,75.31,0,0,26.496786861787243,57.63442894659407,1,0,1,central_middle
LALIGA_24_25_M23,17.0,62.22,34.48,1.51,-3.25,76.06,0,0,49.912284670224665,58.04307710657663,0,0,1,central_middle
LALIGA_24_25_M23,17.5,60.55,34.62,3.34,3.66,77.73,0,0,24.59352439059912,59.69293844333683,0,0,1,central_middle
LALIGA_24_25_M23,18.0,63.62,34.06,6.24,5.8,80.85,1,0,17.613545151692968,56.69204529737836,0,0,1,central_middle
