player,avg_xt_impact,total_actions,progressive_passes_p90,progressive_carries_p90,pass_completion_pct,successful_tackles_p90,shots_p90,non_penalty_xg_p90,key_passes_p90,successful_dribbles_p90,interceptions_p90
Pedri,0.18,3060,11.25,2.88,87.4,1.91,0.78,0.07,2.19,1.25,0.81
Vitinha,0.17,2581,9.87,2.33,93.1,1.01,1.10,0.08,1.19,1.19,0.62
Kevin De Bruyne,0.31,1368,8.30,2.70,75.9,0.90,3.01,0.27,3.01,0.69,0.37
Jude Bellingham,0.26,1881,7.20,2.68,86.1,1.12,2.17,0.36,1.52,1.49,1.02
Frenkie de Jong,0.16,1226,9.48,2.83,94.4,1.50,0.39,0.05,1.65,0.39,0.94
Ilkay Gündoğan,0.20,1892,5.14,2.59,89.5,1.01,1.09,0.13,1.78,0.69,0.53
Martin Ødegaard,0.27,1694,10.00,3.56,82.5,0.74,1.86,0.16,2.44,0.97,0.23
Declan Rice,0.09,1948,6.12,2.87,83.4,1.69,1.53,0.11,1.88,0.45,0.80
Joshua Kimmich,0.19,3867,11.48,1.61,89.5,1.49,1.07,0.06,2.63,0.38,0.79
Fabián Ruiz,0.15,1807,9.57,2.20,89.6,1.03,2.01,0.20,1.68,0.65,0.75
Rodri,0.13,74,5.00,1.25,94.1,1.25,0.00,0.00,1.25,0.00,1.25
Bernardo Silva,0.22,2054,4.52,3.40,86.8,1.99,1.08,0.13,1.79,0.94,0.77
Florian Wirtz,0.28,2096,6.73,5.02,78.3,1.23,2.83,0.23,2.18,3.14,0.38
Jamal Musiala,0.25,1278,5.35,3.55,82.6,1.05,3.40,0.46,2.05,3.60,0.40
Nicolò Barella,0.19,2064,8.46,2.28,82.1,1.78,1.55,0.08,1.99,0.83,0.43
